rain,tmax,tmin,srad,lon,lat,AWC,SBDM_mean,SLOC_mean,SLCL_mean,SLSI_mean,SLHW_mean,SCEC_mean,rain_more_50,maxt_sum2,irrigation,zone,scenario
131,289.15,282.15,12.4,104.683333,31.466667,141.66666666666703,1.42333333333333,0.983333333333333,26.4366666666667,42.52,6.11666666666667,15.5333333333333,0,0.0,irrigated,6,T0
117,288.15,277.65,13.0,114.633333,37.883333,130.333333333334,1.52666666666667,1.28666666666667,21.9666666666667,38.7966666666667,6.95666666666667,21.7,0,0.0,irrigated,4,T0
271,287.84999999999997,278.25,13.2,118.75,34.1,132.99999999999997,1.44333333333333,1.87666666666667,24.02,39.4566666666667,6.68,17.3,0,0.0,irrigated,4,T+10%
315,297.34999999999997,285.54999999999995,21.6,122.733333,48.0,151.99999999999997,1.43333333333333,2.52666666666667,16.31,52.11,6.76,19.0666666666667,1,0.0,rainfed,1,T-10%
264,299.95,287.45,24.2,118.833333,42.3,127.0,1.40333333333333,1.92666666666667,19.7666666666667,38.35,7.14333333333333,17.7,0,0.0,irrigated,1,T0
171,292.45,280.54999999999995,14.8,102.55,24.35,129.33333333333402,1.30333333333333,1.05666666666667,28.1433333333333,34.28,6.47666666666667,15.4666666666667,0,0.0,irrigated,6,T+5%
18,286.65,273.45,13.2,84.25,41.783333,134.333333333334,1.40333333333333,0.64,20.5933333333333,41.52,7.97,14.0333333333333,0,0.0,irrigated,9,T-5%
367,288.75,279.34999999999997,13.5,116.983333,33.633333,138.33333333333397,1.49333333333333,1.67,29.4333333333333,40.3766666666667,7.37,24.9333333333333,0,0.549999999999997,irrigated,4,T-5%
195,289.75,282.25,10.6,105.916667,31.733333,124.99999999999997,1.39333333333333,1.18666666666667,21.22,36.2666666666667,6.46666666666667,12.0,0,0.0,rainfed,6,T-5%
214,288.04999999999995,276.84999999999997,12.8,115.95,36.416667,133.00000000000003,1.39333333333333,1.34666666666667,23.58,39.2066666666667,7.08,22.1666666666667,0,0.0,irrigated,4,T-10%
1,288.04999999999995,277.25,14.4,79.933333,37.133333,131.0,1.37333333333333,0.746666666666667,21.7266666666667,39.52,7.67666666666667,12.8333333333333,0,0.349999999999998,irrigated,9,T-5%
109,299.65,286.65,22.2,121.283333,43.6,135.0,1.42333333333333,1.49,19.51,42.4466666666667,7.34333333333333,17.3333333333333,0,5.95,irrigated,1,T+10%
158,290.65,283.25,13.3,106.1,30.783333,125.66666666666701,1.44333333333333,0.97,22.7266666666667,35.82,6.45333333333333,14.0666666666667,0,0.0,rainfed,6,T+5%
145,288.25,276.45,12.5,110.833333,35.4,122.33333333333299,1.41333333333333,1.55666666666667,19.3433333333333,36.4333333333333,7.19,16.2666666666667,0,0.0,irrigated,4,T+5%
393,288.15,280.54999999999995,13.0,113.166667,30.666667,148.333333333334,1.37333333333333,1.12666666666667,27.2966666666667,45.66,7.11,15.0333333333333,0,0.0,rainfed,5,T+10%
190,287.95,278.65,12.5,109.583333,34.95,125.333333333334,1.38333333333333,1.09666666666667,21.5066666666667,36.31,7.16666666666667,14.7333333333333,0,0.0,irrigated,4,T-10%
287,288.65,276.25,12.7,110.716667,34.7,127.33333333333296,1.44333333333333,1.58,21.9333333333333,37.09,6.96,16.3,0,0.0,irrigated,4,T+10%
350,289.95,278.75,15.1,110.416667,33.0,140.333333333333,1.38,2.55,24.2233333333333,42.6033333333333,6.77333333333333,12.9,0,0.0,rainfed,6,T-10%
208,289.15,278.65,12.9,113.666667,34.816667,135.666666666666,1.40333333333333,1.46333333333333,25.35,39.83,6.88666666666667,21.4666666666667,1,0.850000000000001,irrigated,4,T0
393,288.75,278.54999999999995,12.1,115.816667,32.916667,145.66666666666603,1.45333333333333,1.42333333333333,27.6166666666667,44.4733333333333,7.38333333333333,21.3666666666667,1,0.0,irrigated,4,T+10%
386,286.65,278.04999999999995,13.4,119.816667,33.483333,141.666666666666,1.38333333333333,1.51666666666667,25.8666666666667,42.9133333333333,7.21,19.6,0,0.0,rainfed,5,T+10%
944,289.95,279.84999999999997,14.4,115.666667,30.733333,124.66666666666701,1.39333333333333,1.82,21.91,35.6066666666667,6.21,13.1,4,0.0,rainfed,5,T+10%
182,286.95,276.04999999999995,13.6,116.216667,39.433333,136.0,1.37333333333333,1.43,21.9766666666667,41.3666666666667,7.30666666666667,21.2666666666667,0,0.0,irrigated,3,T+10%
532,287.75,280.04999999999995,12.0,119.466667,32.183333,144.66666666666703,1.40333333333333,1.64666666666667,24.4966666666667,44.9,7.15666666666667,16.9,1,0.0,rainfed,5,T-10%
121,288.04999999999995,276.84999999999997,12.9,114.8,36.55,134.66666666666703,1.52333333333333,1.39666666666667,22.1466666666667,40.8466666666667,6.88333333333333,21.2666666666667,0,0.400000000000002,irrigated,4,T-5%
30,287.65,275.65,13.8,81.65,36.85,135.333333333334,1.32,0.733333333333333,21.4533333333333,41.63,7.78333333333333,14.1,0,0.0,irrigated,9,T-5%
