rain,tmax,srad,lon,lat,AWC,SBDM_mean,SLOC_mean,SLCL_mean,SLSI_mean,SLHW_mean,maxt1,rain1,srad1,maxt2,rain2,srad2,zone,scenario
106,282.15,14.1,87.433333,44.016667,145.99999999999997,1.38333333333333,0.856666666666667,18.9066666666667,48.02,8.02666666666667,4.81842105263158,89.8,2733.3,31.4738095238095,16.1,1095.4,9,T+5%
79,288.25,13.5,109.583333,34.95,125.333333333334,1.38333333333333,1.09666666666667,21.5066666666667,36.31,7.16666666666667,13.0675126903553,38.7,2448.4,27.4684210526316,37.5,718.2,4,T-10%
177,298.75,22.9,121.283333,43.6,135.0,1.42333333333333,1.49,19.51,42.4466666666667,7.34333333333333,23.2310344827586,61.6,1287.8,28.4,102.2,665.9,1,T+10%
292,287.84999999999997,11.4,108.916667,34.15,130.66666666666598,1.37333333333333,0.9,23.4,37.73,7.00666666666667,12.8093596059113,210.3,2063.1,26.6125,69.5,633.2,4,T+10%
262,288.75,12.9,109.233333,34.4,130.66666666666598,1.31333333333333,0.93,23.0066666666667,38.4966666666667,6.76,13.1894472361809,204.5,2126.3,27.8238095238095,69.5,938.5,4,T+10%
181,281.34999999999997,13.8,85.816667,44.283333,153.33333333333297,1.39333333333333,0.726666666666667,21.17,50.4533333333333,7.77666666666667,4.35438596491228,141.7,2583.6,27.874,39.0,1288.9,9,T-10%
284,289.65,11.8,112.4,34.416667,146.0,1.46333333333333,1.40333333333333,26.3733333333333,44.7433333333333,7.5,13.6954081632653,226.9,1862.8,28.5294117647059,19.4,703.1,4,T+10%
58,298.15,21.2,104.683333,36.566667,120.99999999999999,1.33333333333333,1.6,17.6066666666667,36.64,7.17,22.0333333333333,17.3,1510.1,29.3833333333333,43.8,1038.0,7,T+5%
117,299.34999999999997,24.3,88.083333,47.733333,162.333333333333,1.39333333333333,2.19333333333333,18.18,55.9933333333333,8.00333333333333,21.975,25.8,1259.2,28.8152173913043,91.5,1149.0,9,T0
247,287.04999999999995,12.9,115.55,34.816667,143.333333333333,1.41333333333333,1.42,25.0166666666667,44.2066666666667,7.42333333333333,11.0403225806452,79.8,2064.5,25.4872340425532,181.6,920.1,4,T0
22,294.45,17.3,101.55,25.033333,129.333333333333,1.34666666666667,1.51666666666667,28.2833333333333,34.5,6.36,20.6071428571429,3.4,2340.7,25.4170212765957,25.0,997.9,6,T0
204,289.15,12.0,112.9,35.05,133.66666666666703,1.46333333333333,1.06333333333333,23.8,39.5133333333333,7.03666666666667,13.2635359116022,113.6,1805.8,26.4442307692308,110.5,968.1,4,T+10%
228,287.95,12.3,105.716667,33.75,136.0,1.37333333333333,1.44666666666667,25.0,40.0833333333333,6.62666666666667,11.9944444444444,120.6,1878.9,26.1765957446808,107.1,938.0,6,T+10%
205,286.54999999999995,13.3,117.4,40.033333,137.666666666667,1.47333333333333,1.69,22.5133333333333,42.1733333333333,6.85666666666667,10.5731481481481,124.6,2564.7,28.7707317073171,46.7,874.9,3,T+5%
197,298.15,24.4,119.016667,42.933333,108.00000000000028,1.25333333333333,1.82666666666667,14.99,32.43,6.87333333333333,21.6730158730159,56.9,1498.4,28.7769230769231,141.6,949.4,1,T+10%
321,288.45,12.3,115.816667,32.916667,145.66666666666603,1.45333333333333,1.42333333333333,27.6166666666667,44.4733333333333,7.38333333333333,13.1192307692308,238.9,1945.3,25.8604651162791,105.4,792.0,4,T-10%
278,287.84999999999997,13.1,119.816667,34.033333,145.666666666666,1.41333333333333,1.75,24.48,45.2666666666667,7.36,12.58,213.4,2252.8,25.2145833333333,64.1,944.7,4,T-10%
7,288.04999999999995,14.0,88.166667,39.033333,118.666666666667,1.40333333333333,0.236666666666667,16.68,36.4733333333333,8.25,12.950643776824,6.2,2987.5,31.9264705882353,1.2,818.9,9,T+5%
174,287.45,14.1,121.25,37.5,130.666666666667,1.44333333333333,1.48333333333333,20.54,39.6166666666667,6.61333333333333,11.8918660287081,146.4,2574.2,28.1333333333333,27.3,891.6,4,T-5%
158,287.34999999999997,13.6,115.0,38.516667,128.33333333333303,1.47333333333333,1.66333333333333,22.0366666666667,37.75,7.11,10.9549019607843,126.4,2397.9,28.5475,24.8,872.1,3,T-5%
49,287.65,13.4,78.566667,39.8,128.333333333334,1.44333333333333,0.293333333333333,16.7966666666667,40.6366666666667,8.38666666666667,11.3,7.1,2207.4,29.8536585365854,48.2,942.9,9,T-5%
55,297.45,21.9,106.55,38.9,130.0,1.29333333333333,0.746666666666667,18.6733333333333,40.1133333333333,7.36333333333333,19.3,27.0,1718.1,29.6272727272727,11.4,1007.9,7,T0
366,286.84999999999997,13.5,119.033333,33.6,141.666666666666,1.38333333333333,1.51666666666667,25.8666666666667,42.9133333333333,7.21,10.7066666666667,219.9,2182.5,25.4155555555556,145.1,839.0,4,T+10%
